source_file,section,instance,family,family_group,P,radiusCoeff,alpha,beta,feasible,metric,value
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,0.5,0.7,0.4,True,total_distance,327.5611902774331
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.0,0.9,0.2,True,computation_time,4.74
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.0,0.9,0.2,True,n_coarsened,6.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.0,0.9,0.2,True,num_vehicles,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.0,0.9,0.2,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.6,1.0,0.9,0.2,True,total_distance,291.3046430683037
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,0.6,True,computation_time,8.87
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,0.6,True,n_coarsened,8.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,0.6,True,num_vehicles,4.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,0.6,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,0.5,1.0,0.6,True,total_distance,397.494622928447
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,5.0,1.0,1.0,True,computation_time,1.62
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,5.0,1.0,1.0,True,n_coarsened,3.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,5.0,1.0,1.0,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,5.0,1.0,1.0,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.4,5.0,1.0,1.0,True,total_distance,191.23298176125223
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.3,0.8,True,computation_time,1.13
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.3,0.8,True,n_coarsened,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.3,0.8,True,num_vehicles,2.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.3,0.8,True,time_window_violations,0.0
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.3,1.0,0.3,0.8,True,total_distance,191.23298176125223
hyperparameter_for_RC.json,per_instance_trials,RC101,RC,RC1,0.5,1.5,1.0,1.0,True,computation_time,2.04
