comparison_type,context,group_label,source_file,instance,scale,solver,method,metric,value
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R112,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R201,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R202,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R203,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R204,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R205,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R206,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R207,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R208,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R209,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R210,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,R211,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC101,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC102,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC103,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC104,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC105,N10,AveragePartitionSolver,Coarsened,time_window_violations,2.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC106,N10,AveragePartitionSolver,Coarsened,time_window_violations,2.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC107,N10,AveragePartitionSolver,Coarsened,time_window_violations,6.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC108,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC201,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC202,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC203,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC204,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC205,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC206,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC207,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,RC208,N10,AveragePartitionSolver,Coarsened,time_window_violations,0.0
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C101,N10,AveragePartitionSolver,Uncoarsened,total_distance,102.67457485982511
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C102,N10,AveragePartitionSolver,Uncoarsened,total_distance,133.56919370093172
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C103,N10,AveragePartitionSolver,Uncoarsened,total_distance,133.28024890444183
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C104,N10,AveragePartitionSolver,Uncoarsened,total_distance,167.80818948382313
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C105,N10,AveragePartitionSolver,Uncoarsened,total_distance,133.5156642562703
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C106,N10,AveragePartitionSolver,Uncoarsened,total_distance,129.70772335097982
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C107,N10,AveragePartitionSolver,Uncoarsened,total_distance,133.55700952954132
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C108,N10,AveragePartitionSolver,Uncoarsened,total_distance,99.56033184510966
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C109,N10,AveragePartitionSolver,Uncoarsened,total_distance,110.48566175012462
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C201,N10,AveragePartitionSolver,Uncoarsened,total_distance,333.616845204421
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C202,N10,AveragePartitionSolver,Uncoarsened,total_distance,310.46254851235176
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C203,N10,AveragePartitionSolver,Uncoarsened,total_distance,308.9320462102788
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C204,N10,AveragePartitionSolver,Uncoarsened,total_distance,290.47967118717685
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C205,N10,AveragePartitionSolver,Uncoarsened,total_distance,238.89674880405312
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C206,N10,AveragePartitionSolver,Uncoarsened,total_distance,279.69310784698644
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C207,N10,AveragePartitionSolver,Uncoarsened,total_distance,236.93811532008138
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,C208,N10,AveragePartitionSolver,Uncoarsened,total_distance,236.04212196554377
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R101,N10,AveragePartitionSolver,Uncoarsened,total_distance,370.0316109139997
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R102,N10,AveragePartitionSolver,Uncoarsened,total_distance,343.4787916348424
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R103,N10,AveragePartitionSolver,Uncoarsened,total_distance,269.0570237263722
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R104,N10,AveragePartitionSolver,Uncoarsened,total_distance,321.0465318692018
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R105,N10,AveragePartitionSolver,Uncoarsened,total_distance,358.6527801827888
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R106,N10,AveragePartitionSolver,Uncoarsened,total_distance,325.8330545087672
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R107,N10,AveragePartitionSolver,Uncoarsened,total_distance,305.4046797711079
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R108,N10,AveragePartitionSolver,Uncoarsened,total_distance,355.89557305381584
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R109,N10,AveragePartitionSolver,Uncoarsened,total_distance,288.9531398284168
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R110,N10,AveragePartitionSolver,Uncoarsened,total_distance,339.9194727921642
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R111,N10,AveragePartitionSolver,Uncoarsened,total_distance,379.59623460323115
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R112,N10,AveragePartitionSolver,Uncoarsened,total_distance,319.30838706511463
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R201,N10,AveragePartitionSolver,Uncoarsened,total_distance,352.8845705776085
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R202,N10,AveragePartitionSolver,Uncoarsened,total_distance,319.65527501156225
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R203,N10,AveragePartitionSolver,Uncoarsened,total_distance,332.8546034890831
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R204,N10,AveragePartitionSolver,Uncoarsened,total_distance,281.16404500323125
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R205,N10,AveragePartitionSolver,Uncoarsened,total_distance,288.38927407166364
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R206,N10,AveragePartitionSolver,Uncoarsened,total_distance,323.52902628930053
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R207,N10,AveragePartitionSolver,Uncoarsened,total_distance,306.9571874912024
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R208,N10,AveragePartitionSolver,Uncoarsened,total_distance,339.7845792394605
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R209,N10,AveragePartitionSolver,Uncoarsened,total_distance,327.37967047767546
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R210,N10,AveragePartitionSolver,Uncoarsened,total_distance,288.5182362379208
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,R211,N10,AveragePartitionSolver,Uncoarsened,total_distance,355.30411076180945
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC101,N10,AveragePartitionSolver,Uncoarsened,total_distance,368.1910125033045
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC102,N10,AveragePartitionSolver,Uncoarsened,total_distance,241.37402973587052
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC103,N10,AveragePartitionSolver,Uncoarsened,total_distance,294.99889208688415
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC104,N10,AveragePartitionSolver,Uncoarsened,total_distance,386.9922172610152
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC105,N10,AveragePartitionSolver,Uncoarsened,total_distance,263.63608422905736
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC106,N10,AveragePartitionSolver,Uncoarsened,total_distance,247.93906917478427
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC107,N10,AveragePartitionSolver,Uncoarsened,total_distance,399.100198484173
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC108,N10,AveragePartitionSolver,Uncoarsened,total_distance,373.98719131638313
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC201,N10,AveragePartitionSolver,Uncoarsened,total_distance,362.7777534275272
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC202,N10,AveragePartitionSolver,Uncoarsened,total_distance,334.1412841853928
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC203,N10,AveragePartitionSolver,Uncoarsened,total_distance,387.6495785980984
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC204,N10,AveragePartitionSolver,Uncoarsened,total_distance,243.54321811521862
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC205,N10,AveragePartitionSolver,Uncoarsened,total_distance,416.7012826667537
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC206,N10,AveragePartitionSolver,Uncoarsened,total_distance,327.0341902862171
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC207,N10,AveragePartitionSolver,Uncoarsened,total_distance,338.946547363735
pairwise,result_quantum_10customer | N10 | APS,Uncoarsened APS,result_quantum_10customer.json,RC208,N10,AveragePartitionSolver,Uncoarsened,total_distance,302.0868560976093
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C101,N10,AveragePartitionSolver,Coarsened,total_distance,93.44670040226386
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C102,N10,AveragePartitionSolver,Coarsened,total_distance,106.67149000731088
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C103,N10,AveragePartitionSolver,Coarsened,total_distance,102.12573531809068
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C104,N10,AveragePartitionSolver,Coarsened,total_distance,102.47185877155232
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C105,N10,AveragePartitionSolver,Coarsened,total_distance,93.75900522722078
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C106,N10,AveragePartitionSolver,Coarsened,total_distance,93.75900522722078
pairwise,result_quantum_10customer | N10 | APS,Coarsened APS,result_quantum_10customer.json,C107,N10,AveragePartitionSolver,Coarsened,total_distance,98.70125313068634
